row_ID,date,location,time start,time finish,tide height,tide time,elevation,tide_pool_number,transect_number,quadrat_number,quadrat_position_cm,anemone_number,basal_diameter_cm_length,basal_diameter_cm_width,notes
,20180504,Cattle Point,12:30,13:15,0.56,12:30,low,NA,1,1,40,1,0,0,"West boundary is along perpendicular crack; lat/long = 48.4501, -122.9641"
,20180504,Cattle Point,12:30,13:15,0.36,12:30,low,NA,1,2,134,2,1,1.5,
,20180504,Cattle Point,12:30,13:15,0.36,12:30,low,NA,1,2,134,3,1,1,
,20180504,Cattle Point,12:30,13:15,0.48,12:30,low,NA,1,3,191,4,2.5,1.5,
,20180504,Cattle Point,12:30,13:15,0.48,12:30,low,NA,1,3,191,5,1.5,1.5,
,20180504,Cattle Point,12:30,13:15,0.48,12:30,low,NA,1,3,191,6,1,1.5,
,20180504,Cattle Point,12:30,13:15,0.48,12:30,low,NA,1,3,191,7,2,1.5,
,20180504,Cattle Point,12:30,13:15,0.48,12:30,low,NA,1,3,191,8,1,1,
,20180504,Cattle Point,12:30,13:15,0.48,12:30,low,NA,1,3,191,9,1,1,
,20180504,Cattle Point,12:30,13:15,0.48,12:30,low,NA,1,3,191,10,1.5,1,
,20180504,Cattle Point,12:30,13:15,0.48,12:30,low,NA,1,3,191,11,2,2,
,20180504,Cattle Point,12:30,13:15,0.48,12:30,low,NA,1,3,191,12,2,2.5,
,20180504,Cattle Point,12:30,13:15,0.48,12:30,low,NA,1,3,191,13,0.5,1,
,20180504,Cattle Point,12:30,13:15,0.48,12:30,low,NA,1,3,191,14,3,1.5,
,20180504,Cattle Point,12:30,13:15,0.48,12:30,low,NA,1,3,191,15,1.9,1.8,
,20180504,Cattle Point,12:30,13:15,0.48,12:30,low,NA,1,3,191,16,1.1,2,
,20180504,Cattle Point,12:30,13:15,0.48,12:30,low,NA,1,3,191,17,0.9,1,
,20180504,Cattle Point,12:30,13:15,0.48,12:30,low,NA,1,3,191,18,2.2,1,
,20180504,Cattle Point,12:30,13:15,0.48,12:30,low,NA,1,3,191,19,1.2,1.4,
,20180504,Cattle Point,12:30,13:15,0.48,12:30,low,NA,1,3,191,20,1.8,1.5,
,20180504,Cattle Point,12:30,13:15,0.48,12:30,low,NA,1,4,414,21,1.8,1.6,
,20180504,Cattle Point,12:30,13:15,0.48,12:30,low,NA,1,4,414,22,1.6,2.1,
,20180504,Cattle Point,12:30,13:15,0.48,12:30,low,NA,1,4,414,23,1,1.3,
,20180504,Cattle Point,12:30,13:15,0.48,12:30,low,NA,1,4,414,24,1.3,1.5,
,20180504,Cattle Point,12:30,13:15,0.48,12:30,low,NA,1,4,414,25,0.7,0.8,
,20180504,Cattle Point,12:30,13:15,0.48,12:30,low,NA,1,4,414,26,1.2,0.9,
,20180504,Cattle Point,12:30,13:15,0.48,12:30,low,NA,1,4,414,27,1.8,1.6,
,20180504,Cattle Point,12:30,13:15,0.48,12:30,low,NA,1,4,414,28,2.6,2.5,
,20180504,Cattle Point,12:30,13:15,0.4,12:36,low,NA,1,5,422,29,2.1,2.4,
,20180504,Cattle Point,12:30,13:15,0.4,12:36,low,NA,1,5,422,30,1,0.9,
,20180504,Cattle Point,12:30,13:15,0.4,12:36,low,NA,1,5,422,31,1.5,1.4,
,20180504,Cattle Point,12:30,13:15,0.4,12:36,low,NA,1,5,422,32,1,1.3,
,20180504,Cattle Point,12:30,13:15,0.4,12:36,low,NA,1,5,422,33,1.8,1.4,
,20180504,Cattle Point,12:30,13:15,0.4,12:36,low,NA,1,5,422,34,1.1,1,
,20180504,Cattle Point,12:30,13:15,0.4,12:36,low,NA,1,5,422,35,4.1,2.7,
,20180504,Cattle Point,12:30,13:15,0.4,12:36,low,NA,1,5,422,36,2,1.2,
